"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"649","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","Continuing",20906
"650","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","Continuing",20906
"651","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Other State","Photography (AA & AAS)","","White","MD","Part-Time","Transfer no degree",20853
"652","21 - 24","Day Only","No","No","Yes","Takoma Park","Montgomery","Hispanic",2015,"Female","Other State","Mental Health Associate (AA & AAS)","","Hispanic","MD","Part-Time","Continuing",20912
"653","30 or Older","Day & Evening","No","No","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Mental Health Associate (AA & AAS)","","Black","DC","Part-Time","Continuing",20002
"654","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Unknown",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20874
"655","30 or Older","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20851
"656","20 or Younger","Day Only","No","No","Yes","","Montgomery","Not Hispanic",2015,"Female","Other Maryland","Criminal Justice (AA & AAS)","","Black","MD","Full-Time","New",NA
"657","20 or Younger","Day Only","No","No","Yes","Beltsville","Prince George's","Not Hispanic",2015,"Male","Other State","Health Sciences (Pre-Clinical Studies)","","Asian","MD","Part-Time","Continuing",20705
"658","21 - 24","No Specific Time[online]","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Transfer",20904
"659","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","HS Student",20878
"660","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","HS Student",20878
"661","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","HS Student",20878
"662","21 - 24","Day Only","No","Yes","No","Burtonsville","Montgomery","Hispanic",2015,"Male","MCPS","Management (CT)","Paint Branch High School","Hispanic","MD","Part-Time","Continuing",20866
"663","21 - 24","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Part-Time","Continuing",20879
"664","20 or Younger","Day Only","No","Yes","Yes","Laurel","Prince George's","Not Hispanic",2015,"Female","Other Maryland","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Continuing",20707
"665","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","John F. Kennedy High School","Multi-Race","MD","Full-Time","New",20906
"666","25 - 29","Day Only","No","Yes","No","Brinklow","Montgomery","Not Hispanic",2015,"Male","GED","Computer Gaming & Simulation (AA - All Tracks)","","White","MD","Part-Time","Continuing",20862
"667","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20906
"668","20 or Younger","Day & Evening","Yes","No","No","Clarksburg","Montgomery","Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Clarksburg High School","White","MD","Full-Time","New",20871
"669","20 or Younger","Day Only","Yes","No","No","Boyds","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Northwest HS - Germantown","Multi-Race","MD","Part-Time","Continuing",20841
"670","20 or Younger","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Seneca Valley High School","Black","MD","Full-Time","New",20874
"671","20 or Younger","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Cybersecurity (AAS)","","White","MD","Full-Time","New",20876
"672","21 - 24","Day & Evening","Yes","Yes","No","Boyds","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Poolesville Jr-Sr High School","Unknown","MD","Full-Time","Continuing",20841
"673","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Microcomputer Technician (CT)","John F. Kennedy High School","Asian","MD","Full-Time","Continuing",20906
"674","21 - 24","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20874
"675","20 or Younger","Day Only","No","Yes","No","Derwood","Montgomery","Hispanic",2015,"Female","MCPS","Studio Art (AFA)","Colonel Zadok Magruder HS","White","MD","Full-Time","New",20855
"676","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Bethesda Chevy Chase High Schl","White","MD","Part-Time","New",20910
"677","30 or Older","Evening Only","Yes","Yes","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","Biotechnology (AA & AAS)","John F. Kennedy High School","White","MD","Part-Time","Continuing",20874
