"","race","mc_program_description","count"
"125","Hispanic","Graphic Design (AA, AAS, & AFA - All Tracks)",1
"126","Hispanic","Management (CT)",1
"127","Hispanic","Management of Construction (CT)",1
"128","Hispanic","Mental Health Associate (AA & AAS)",1
"129","Multi-Race","Applied Geography (AA & AAS)",1
"130","Multi-Race","Computer Gaming & Simulation (AA - All Tracks)",1
"131","Multi-Race","Computer Science & Technologies (AA - All Tracks)",1
"132","Multi-Race","Criminal Justice (AA & AAS)",1
"133","Multi-Race","Cybersecurity (AAS)",1
"134","Multi-Race","Engineering Science (AA & AS - All Tracks)",1
"135","Multi-Race","Hospitality Management (AA & AAS)",1
"136","Multi-Race","Mental Health Associate (AA & AAS)",1
"137","Native American","Arts & Sciences Transfer (AA - All Tracks)",1
"138","Native American","Business / International Business (AA)",1
"139","Native American","Computer Science - Computer Programming (CT)",1
"140","Native American","Computer Science & Technologies (AA - All Tracks)",1
"141","Native American","Cybersecurity (AAS)",1
"142","Native American","Early Childhood Education (AA & AAS)",1
"143","Native American","Hospitality Management (AA & AAS)",1
"144","Native American","Specialized Art Transfer (CT)",1
"145","Pacific Islander","Arts & Sciences Transfer (AA - All Tracks)",1
"146","Pacific Islander","Automotive Technology (AA & AAS)",1
"147","Pacific Islander","Criminal Justice (AA & AAS)",1
"148","Pacific Islander","Graphic Design (AA, AAS, & AFA - All Tracks)",1
"149","Pacific Islander","Health Sciences (Pre-Clinical Studies)",1
"150","Unknown","Automotive Technology (AA & AAS)",1
"151","Unknown","Computer Gaming & Simulation (AA - All Tracks)",1
"152","Unknown","Credit (Undeclared / Undecided)",1
"153","Unknown","Engineering Science (AA & AS - All Tracks)",1
"154","Unknown","General Studies (AA - All Tracks)",1
"155","Unknown","Health Sciences (Pre-Clinical Studies)",1
"156","White","American Sign Language (AA & AAS)",1
"157","White","Automotive Technology (CT)",1
"158","White","Building Trades Technology (AA & AAS)",1
"159","White","Commun & Broadcasting Tech (AA & AAS - All Tracks)",1
"160","White","Computer Applications (CT)",1
"161","White","Computer Science - Computer Programming (CT)",1
"162","White","Digital Media & Web Technology (CT)",1
"163","White","Early Childhood Education (CT)",1
"164","White","Graphic Design (AFA) - School of Art & Design",1
"165","White","Health Information Management (AA & AAS)",1
"166","White","Management (CT)",1
"167","White","Management of Construction (CT)",1
"168","White","Radiologic (X-Ray) Technology (AA & AAS)",1
"169","White","Studio Art (AFA)",1
"170","White","Studio Art (AFA) - School of Art & Design",1
